01_004_Comrade_S1_L001_R1	S101_L001_R1
16_041_N15066_S16_L002_R1	S116_L002_R1
16_041_N15066_S16_L002_R2	S116_L002_R2
16_041_N15066_S16_L003_R1	S116_L003_R1
16_041_N15066_S16_L003_R2	S116_L003_R2
16_041_N15066_S16_L004_R1	S116_L004_R1
16_041_N15066_S16_L004_R2	S116_L004_R2
17_042_N16005_S17_L001_R1	S117_L001_R1
17_042_N16005_S17_L001_R2	S117_L001_R2
17_042_N16005_S17_L002_R1	S117_L002_R1
17_042_N16005_S17_L002_R2	S117_L002_R2
17_042_N16005_S17_L003_R1	S117_L003_R1
17_042_N16005_S17_L003_R2	S117_L003_R2
17_042_N16005_S17_L004_R1	S117_L004_R1
17_042_N16005_S17_L004_R2	S117_L004_R2
18_043_N16011_S18_L001_R1	S118_L001_R1
18_043_N16011_S18_L001_R2	S118_L001_R2
18_043_N16011_S18_L002_R1	S118_L002_R1
18_043_N16011_S18_L002_R2	S118_L002_R2
18_043_N16011_S18_L003_R1	S118_L003_R1
18_043_N16011_S18_L003_R2	S118_L003_R2
18_043_N16011_S18_L004_R1	S118_L004_R1
18_043_N16011_S18_L004_R2	S118_L004_R2
19_048_N16032_S19_L001_R1	S119_L001_R1
19_048_N16032_S19_L001_R2	S119_L001_R2
19_048_N16032_S19_L002_R1	S119_L002_R1
19_048_N16032_S19_L002_R2	S119_L002_R2
19_048_N16032_S19_L003_R1	S119_L003_R1
19_048_N16032_S19_L003_R2	S119_L003_R2
19_048_N16032_S19_L004_R1	S119_L004_R1
19_048_N16032_S19_L004_R2	S119_L004_R2
20_059_N17044_S20_L001_R1	S120_L001_R1
20_059_N17044_S20_L001_R2	S120_L001_R2
20_059_N17044_S20_L002_R1	S120_L002_R1
20_059_N17044_S20_L002_R2	S120_L002_R2
20_059_N17044_S20_L003_R1	S120_L003_R1
20_059_N17044_S20_L003_R2	S120_L003_R2
20_059_N17044_S20_L004_R1	S120_L004_R1
20_059_N17044_S20_L004_R2	S120_L004_R2
21_062_N17047_S21_L001_R1	S121_L001_R1
21_062_N17047_S21_L001_R2	S121_L001_R2
21_062_N17047_S21_L002_R1	S121_L002_R1
21_062_N17047_S21_L002_R2	S121_L002_R2
21_062_N17047_S21_L003_R1	S121_L003_R1
21_062_N17047_S21_L003_R2	S121_L003_R2
21_062_N17047_S21_L004_R1	S121_L004_R1
