47_S47_L001_R1	S047_L001_R1
47_S47_L001_R2	S047_L001_R2
47_S47_L002_R1	S047_L002_R1
47_S47_L002_R2	S047_L002_R2
48_S48_L001_R1	S048_L001_R1
48_S48_L001_R2	S048_L001_R2
48_S48_L002_R1	S048_L002_R1
48_S48_L002_R2	S048_L002_R2
49_S49_L001_R1	S049_L001_R1
49_S49_L001_R2	S049_L001_R2
49_S49_L002_R1	S049_L002_R1
49_S49_L002_R2	S049_L002_R2
4_S4_L001_R1	S004_L001_R1
4_S4_L001_R2	S004_L001_R2
4_S4_L002_R1	S004_L002_R1
4_S4_L002_R2	S004_L002_R2
50_S50_L001_R1	S050_L001_R1
50_S50_L001_R2	S050_L001_R2
50_S50_L002_R1	S050_L002_R1
50_S50_L002_R2	S050_L002_R2
52_S52_L001_R1	S052_L001_R1
52_S52_L001_R2	S052_L001_R2
52_S52_L002_R1	S052_L002_R1
52_S52_L002_R2	S052_L002_R2
53_S53_L001_R1	S053_L001_R1
53_S53_L001_R2	S053_L001_R2
53_S53_L002_R1	S053_L002_R1
53_S53_L002_R2	S053_L002_R2
54_S54_L001_R1	S054_L001_R1
54_S54_L001_R2	S054_L001_R2
54_S54_L002_R1	S054_L002_R1
54_S54_L002_R2	S054_L002_R2
55_S55_L001_R1	S055_L001_R1
55_S55_L001_R2	S055_L001_R2
55_S55_L002_R1	S055_L002_R1
55_S55_L002_R2	S055_L002_R2
56_S56_L001_R1	S056_L001_R1
56_S56_L001_R2	S056_L001_R2
56_S56_L002_R1	S056_L002_R1
56_S56_L002_R2	S056_L002_R2
57_S57_L001_R1	S057_L001_R1
57_S57_L001_R2	S057_L001_R2
57_S57_L002_R1	S057_L002_R1
57_S57_L002_R2	S057_L002_R2
58_S58_L001_R1	S058_L001_R1
58_S58_L001_R2	S058_L001_R2
58_S58_L002_R1	S058_L002_R1
58_S58_L002_R2	S058_L002_R2
59_S59_L001_R1	S059_L001_R1
59_S59_L001_R2	S059_L001_R2
59_S59_L002_R1	S059_L002_R1
59_S59_L002_R2	S059_L002_R2
5_S5_L001_R1	S005_L001_R1
5_S5_L001_R2	S005_L001_R2
5_S5_L002_R1	S005_L002_R1
5_S5_L002_R2	S005_L002_R2
60_S60_L001_R1	S060_L001_R1
60_S60_L001_R2	S060_L001_R2
60_S60_L002_R1	S060_L002_R1
60_S60_L002_R2	S060_L002_R2
61_S61_L001_R1	S061_L001_R1
61_S61_L001_R2	S061_L001_R2
61_S61_L002_R1	S061_L002_R1
61_S61_L002_R2	S061_L002_R2
62_S62_L001_R1	S062_L001_R1
62_S62_L001_R2	S062_L001_R2
62_S62_L002_R1	S062_L002_R1
62_S62_L002_R2	S062_L002_R2
63_S63_L001_R1	S063_L001_R1
63_S63_L001_R2	S063_L001_R2
63_S63_L002_R1	S063_L002_R1
63_S63_L002_R2	S063_L002_R2
64_S64_L001_R1	S064_L001_R1
64_S64_L001_R2	S064_L001_R2
64_S64_L002_R1	S064_L002_R1
64_S64_L002_R2	S064_L002_R2
66_S66_L001_R1	S066_L001_R1
66_S66_L001_R2	S066_L001_R2
66_S66_L002_R1	S066_L002_R1
66_S66_L002_R2	S066_L002_R2
67_S67_L001_R1	S067_L001_R1
67_S67_L001_R2	S067_L001_R2
67_S67_L002_R1	S067_L002_R1
67_S67_L002_R2	S067_L002_R2
68_S68_L001_R1	S068_L001_R1
68_S68_L001_R2	S068_L001_R2
68_S68_L002_R1	S068_L002_R1
68_S68_L002_R2	S068_L002_R2
69_S69_L001_R1	S069_L001_R1
69_S69_L001_R2	S069_L001_R2
69_S69_L002_R1	S069_L002_R1
69_S69_L002_R2	S069_L002_R2
6_S6_L001_R1	S006_L001_R1
6_S6_L001_R2	S006_L001_R2
6_S6_L002_R1	S006_L002_R1
6_S6_L002_R2	S006_L002_R2
70_S70_L001_R1	S070_L001_R1
70_S70_L001_R2	S070_L001_R2
70_S70_L002_R1	S070_L002_R1
70_S70_L002_R2	S070_L002_R2
71_S71_L001_R1	S071_L001_R1
71_S71_L001_R2	S071_L001_R2
71_S71_L002_R1	S071_L002_R1
71_S71_L002_R2	S071_L002_R2
72_S72_L001_R1	S072_L001_R1
72_S72_L001_R2	S072_L001_R2
72_S72_L002_R1	S072_L002_R1
72_S72_L002_R2	S072_L002_R2
73_S73_L001_R1	S073_L001_R1
73_S73_L001_R2	S073_L001_R2
73_S73_L002_R1	S073_L002_R1
73_S73_L002_R2	S073_L002_R2
74_S74_L001_R1	S074_L001_R1
74_S74_L001_R2	S074_L001_R2
74_S74_L002_R1	S074_L002_R1
74_S74_L002_R2	S074_L002_R2
75_S75_L001_R1	S075_L001_R1
75_S75_L001_R2	S075_L001_R2
75_S75_L002_R1	S075_L002_R1
75_S75_L002_R2	S075_L002_R2
76_S76_L001_R1	S076_L001_R1
76_S76_L001_R2	S076_L001_R2
76_S76_L002_R1	S076_L002_R1
76_S76_L002_R2	S076_L002_R2
77_S77_L001_R1	S077_L001_R1
77_S77_L001_R2	S077_L001_R2
77_S77_L002_R1	S077_L002_R1
77_S77_L002_R2	S077_L002_R2
78_S78_L001_R1	S078_L001_R1
78_S78_L001_R2	S078_L001_R2
78_S78_L002_R1	S078_L002_R1
78_S78_L002_R2	S078_L002_R2
79_S79_L001_R1	S079_L001_R1
79_S79_L001_R2	S079_L001_R2
79_S79_L002_R1	S079_L002_R1
79_S79_L002_R2	S079_L002_R2
7_S7_L001_R1	S007_L001_R1
7_S7_L001_R2	S007_L001_R2
7_S7_L002_R1	S007_L002_R1
7_S7_L002_R2	S007_L002_R2
80_S80_L001_R1	S080_L001_R1
80_S80_L001_R2	S080_L001_R2
80_S80_L002_R1	S080_L002_R1
80_S80_L002_R2	S080_L002_R2
81_S81_L001_R1	S081_L001_R1
81_S81_L001_R2	S081_L001_R2
81_S81_L002_R1	S081_L002_R1
81_S81_L002_R2	S081_L002_R2
82_S82_L001_R1	S082_L001_R1
82_S82_L001_R2	S082_L001_R2
82_S82_L002_R1	S082_L002_R1
82_S82_L002_R2	S082_L002_R2
83_S83_L001_R1	S083_L001_R1
83_S83_L001_R2	S083_L001_R2
83_S83_L002_R1	S083_L002_R1
83_S83_L002_R2	S083_L002_R2
84_S84_L001_R1	S084_L001_R1
84_S84_L001_R2	S084_L001_R2
84_S84_L002_R1	S084_L002_R1
84_S84_L002_R2	S084_L002_R2
85_S85_L001_R1	S085_L001_R1
85_S85_L001_R2	S085_L001_R2
85_S85_L002_R1	S085_L002_R1
85_S85_L002_R2	S085_L002_R2
86_S86_L001_R1	S086_L001_R1
86_S86_L001_R2	S086_L001_R2
86_S86_L002_R1	S086_L002_R1
86_S86_L002_R2	S086_L002_R2
87_S87_L001_R1	S087_L001_R1
87_S87_L001_R2	S087_L001_R2
87_S87_L002_R1	S087_L002_R1
87_S87_L002_R2	S087_L002_R2
88_S88_L001_R1	S088_L001_R1
88_S88_L001_R2	S088_L001_R2
88_S88_L002_R1	S088_L002_R1
88_S88_L002_R2	S088_L002_R2
89_S89_L001_R1	S089_L001_R1
89_S89_L001_R2	S089_L001_R2
89_S89_L002_R1	S089_L002_R1
89_S89_L002_R2	S089_L002_R2
8_S8_L001_R1	S008_L001_R1
8_S8_L001_R2	S008_L001_R2
8_S8_L002_R1	S008_L002_R1
8_S8_L002_R2	S008_L002_R2
90_S90_L001_R1	S090_L001_R1
90_S90_L001_R2	S090_L001_R2
90_S90_L002_R1	S090_L002_R1
90_S90_L002_R2	S090_L002_R2
91_S91_L001_R1	S091_L001_R1
91_S91_L001_R2	S091_L001_R2
91_S91_L002_R1	S091_L002_R1
91_S91_L002_R2	S091_L002_R2
92_S92_L001_R1	S092_L001_R1
92_S92_L001_R2	S092_L001_R2
92_S92_L002_R1	S092_L002_R1
92_S92_L002_R2	S092_L002_R2
93_S93_L001_R1	S093_L001_R1
93_S93_L001_R2	S093_L001_R2
93_S93_L002_R1	S093_L002_R1
93_S93_L002_R2	S093_L002_R2
94_S94_L001_R1	S094_L001_R1
94_S94_L001_R2	S094_L001_R2
94_S94_L002_R1	S094_L002_R1
94_S94_L002_R2	S094_L002_R2
95_S95_L001_R1	S095_L001_R1
95_S95_L001_R2	S095_L001_R2
95_S95_L002_R1	S095_L002_R1
95_S95_L002_R2	S095_L002_R2
96_S96_L001_R1	S096_L001_R1
96_S96_L001_R2	S096_L001_R2
96_S96_L002_R1	S096_L002_R1
96_S96_L002_R2	S096_L002_R2
9_S9_L001_R1	S009_L001_R1
9_S9_L001_R2	S009_L001_R2
9_S9_L002_R1	S009_L002_R1
9_S9_L002_R2	S009_L002_R2
